barren     adj.不育的,贫瘠的,不结果实的
barricade     v.设栅阻挡n.栅栏
barrier     n.路障,障碍
barrister     n.讼务律师
barter     v.易货贸易
base     adj.卑鄙的
baseboard     n.脚板,护壁板
bashful     adj.害羞的,羞怯的
bask     v.晒太阳,取暖
bassoon     n.低音管,巴松
baste     v.倒脂油于(烤肉上,以防烤干)
bathetic     adj.假作悲伤的,陈腐的
baton     n.指挥棒(指挥家用);警棍
bauble     n.花哨的小玩意儿;没价值的东西
bauxite     n.铝土岩(产铝的矿土、石)
bawdy     adj.淫猥的,好色的
bawl     v.大叫,大喊
bazaar     n.集市,商店集中区
beacon     n.烽火;灯塔
beam     n.(房屋等)大梁;光线
beat     v.心跳;搅拌
beatific     adj.祝福的,快乐的
beatitude     n.至福,十分幸福
beaver     n.水獭
bedeck     vt.装饰,修饰
bedlam     n.混乱,骚乱
bedizen     v.把...装饰得华丽而俗气
bedraggled     adj.(衣服、头发等)弄湿的,凌乱不堪的
beet     n.甜菜
befuddlement     n.迷惑不解
beget     v.产生,引起
begrudge     v.吝啬,勉强给
beguile     v.欺骗,诱骗
behold     v.目睹,看见
beholden     adj.感激某人的;欠人情的
belabor     v.(过分冗长地)做或说;痛打
belated     adj.来得太迟的
belch     v.|n.打嗝;(火山)喷出
beleaguer     v.围攻;骚扰
belie     v.掩饰;证明为假
belittle     v.轻视,贬抑
bellicose     adj.好战的,好斗的
belligerent     adj.(国家等)交战的;挑衅的
bellwether     n.领导者,领头羊
belongings     n.所有物,财产
bemoan     v.为...悲伤,抱怨
bemused     adj.茫然的,困惑的
bench     n.法官席;长凳
benediction     n.祝福;祈祷
benefactor     n.行善者,捐助者
beneficent     adj.行善的
beneficial     adj.有益的,有用的
beneficiary     n.受惠者;(遗产的)受益人
benevolent     adj.善心的,仁心的
benign     adj.慈祥的
benison     n.祝福,赐福
bent     n.特长,爱好adj.弯曲的
bequeath     v.遗赠
bequest     n.遗产,遗赠物
berate     v.猛烈责骂
bereave     v.丧亲,夺去
berserk     adj.狂怒的,疯狂的
beseech     v.祈求,恳求
beset     v.镶嵌,困扰
besiege     v.围攻,困扰
besmirch     v.诽谤
bespeak     v.显示,表示;预定
bestial     adj.野兽的,残忍的
bestow     v.给予,赐赠
betoken     v.预示,表示
betray     v.背叛;暴露
betrayal     n.背叛行为
betroth     v.许配,和...订婚
bevy     n.一群(少女)
bewail     v.悲哀
bewilder     v.迷惑,混乱
bewildering     adj.令人迷惑的;费解的
bewitch     v.对...施魔法;蛊惑;令...心醉
bias     n.偏见v.对某人有偏见
bibliography     n.文献学;参考书目
bibulous     a.高度吸收的;嗜酒的
bicker     v.为小事争吵
bid     v.命令;出价,投标
biennial     adj.两年一次的
bifurcate     v.分为两支,分叉
bigot     n.(宗教,政治等的)盲信者
bigotry     n.顽固,偏狭
bile     n.胆汁;愤怒
bilious     adj.胆汁的;坏脾气的
bilingual     adj.(说)两种语言的
bilk     v.躲债;骗取
billow     n.巨浪v.翻腾
billowing     adj.如波浪般翻滚的
bin     n.大箱子
biography     n.传记
biosphere     n.生命层,生物圈
biped     n.二足动物
birch     n.桦树,赤杨
bivouac     n.露天营地
bizarre     adj.奇异的,古怪的
blackball     v.投反对票以阻止,排挤
blackmail     n.|v.敲诈,勒索
blade     n.刀锋,刀口
blanch     v.使变白;(脸色)变苍白的
bland     adj.(人)情绪平稳的;(食物)无味的
blandishments     n.好言劝诱,甜言蜜语
blare     v.高声鸣叫
blase     adj.厌倦的;冷漠的
blasphemy     n.亵渎,渎神
blast     n.一阵(大风);冲击波v.爆破,枯萎
blatant     adj.喧哗的;显眼的
blazon     n.纹章,装饰v.精确描绘
bleach     v.漂白
bleachers     n.(球场的)露天座位
bleak     adj.寒冷的;阴沉的;阴郁的,暗淡的
blemish     v.损害,玷污n.瑕疵,缺
bless     v.祝福;颂扬
blessing     n.神恩;祝愿
blinds     n.百页窗
blight     n.植物枯萎病v.使...枯萎
blighted     adj.枯萎的;衰老的
blissful     adj.极幸福的
blithe     adj.快乐的,无忧无虑的
blizzard     n.暴风雪
bloated     adj.肿胀的;傲慢的
blockade     v.|n.封锁
blockage     n.障碍物
blooming     adj.有花的;精力旺盛的
blossom     n.花v.指树木开花
blotch     n.(皮肤上的)红斑点;(墨水等)大斑点
blouse     n.(女人或小孩的)衬衫
blowhard     n.自吹自擂者
bludgeon     n.大头棒v.用棒打击
blueprint     n.蓝图;方案
blue     adj.忧伤的,沮丧的
bluff     n.虚张声势;悬崖峭壁
blunder     v.犯大错n.愚蠢之举
blunt     adj.钝的;直率的v.是变钝
blur     n.污点v.使...模糊
blurb      n.简介,印在书籍封套上的推荐广告
blurt     v.脱口而出
blush     v.因某事物脸红n.因羞愧等脸上泛出的红晕
bluster     v.(指风)猛刮
boastful     adj.(指人)好自夸的
bode     v.预示
bodyguard     n.保镖,侍卫
bog     n.沼泽v.使...陷入泥沼
boggle     v.畏缩不前;不敢想
bogus     adj.假装的,假的
bohemian     n.|adj.放荡不羁的(人)
boisterous     adj.喧闹的;猛烈的
bolster     n.枕垫v.支持,鼓励
bolt     n.螺栓,门栓v.急逃
bolted     adj.脱离的
bombardment     n.炮炸,炮轰
bombast     n.高调,夸大之辞
bondage     n.奴役,束缚
bonnet     n.圆帽,扁平软帽
bookcase     n.书橱,书柜
boom     n.繁荣昌盛时期v.发出深沉有回响的声音
boon     n.请求,恩惠
boor     n.举止粗野的人;乡下人
boorish     adj.粗野的
boost     v.往上推;增加,提高
bootless     adj.无益处的;无用的
bore     v.钻孔;令人厌烦的人
boredom     n.厌烦,厌倦
boring     adj.无趣的,乏味的
botany     n.植物学
botch     v.(笨手笨脚地)弄坏某事物
bough     n.粗大的树枝或树干
boudoir     n.(女人的)化妆室,闺房
boulder     n.巨砾
bounteous     adj.慷慨的
bouquet     n.花束;芳香
bout     n.一回合,一阵
bovine     adj.(似)牛的;迟钝的
bowdlerize     v.删除,删改
bower     n.凉亭,树荫下凉快之处
boycott     v.抵制(贸易)
brace     v.使稳固,架稳n.支撑物
bracing     adj.令人振奋的
bracelet     n.手镯,臂镯
bracket     n.托架,支架
brackish     adj.(指水)略咸的,不好吃的
brag     v.吹嘘
braggadocio     n.吹牛大王,大吹大擂
braggart     n.吹牛者
braid     n.穗子,发辫v.编成辫子
brake     n.刹车v.减速,阻止
brand     n.商标;烙印v.在某事物上打烙印
brandish     v.(威胁性地)挥舞
brash     adj.性急的,无礼的
brassy     adj.厚脸皮的,无礼的
brat     n.孩子,顽童
bravado     n.故作勇敢,虚张声势
bravura     n.华美乐段
brawl     v.|n.争吵,打架
brawny     adj.(人)强壮的
brazen     adj.厚脸皮的
breach     v.违反;毁坏n.缺口;违反
breadth     n.宽度
breakthrough     n.突破敌人防线;重大的发现
breeder     n.饲养员
brevity     n.短暂;简洁
bribe     v.贿赂
bricklayer     n.砌砖盖房者,泥瓦匠
bridle     n.马笼头v.抑制,控制
brilliant     adj.辉煌的;才气焕发的
brim     n.(杯)边,缘v.盈满
brink     n.(峭壁的)边沿,边缘
brindled     adj.有棕色斑纹的
brisk     adj.敏捷的,活泼的;清新健康的
bristle     n.短而硬的毛发v.(毛)竖起;发怒
brittle     adj.脆弱的;声音尖利的
broach     v.开瓶;钻洞;提出(讨论)
brocade     n.织锦
broil     v.烧烤
broker     n.经纪人
bromide     n.平庸的人或话;溴化物
brooch     n.胸针
brood     n.一窝幼鸟v.孵蛋;冥想
brook     v.容忍,忍受
brook     n.小河
browse     v.吃嫩叶或草;浏览
browbeat     v.欺侮;吓唬
bruise     v.受伤,擦伤
bruit     v.散布(谣言)
brunt     n.主要冲击力或影响
brushwork     n.绘画;画家风格
brusque      adj.唐突的,鲁莽的
brute     adj.残忍的;严酷的
bubble     v.起泡n.气泡,水泡
buck     v.反对;马弓背跳跃n.雄鹿,雄兔
bucket     n.圆桶v.雨倾盆而下
buckle     n.皮带扣环v.扣紧
bucolic     adj.乡村的;牧羊的
bud     n.芽;花蕾
budge     v.移动一点;让步,妥协
budget     n.预算
buffoon     n.演出时的丑角,粗俗而愚蠢的人
bugaboo     n.吓人的东西;妖怪
buggy     n.轻型马车;婴儿车
bulb     n.植物的球茎
bulge     v.|n.膨胀,鼓起
bulk     n.体积,数量;大多数;大身躯
bullion     n.金条,银条
bully     v.以强欺弱,威胁n.欺负别人者
bulwark     n.堡垒;防波堤
